author_id,table_status,is_sab_stable_valid,retention_status,is_promote,is_aa_promote,gender_category,age_category,fans_num_all,anchor_type,live_game_days,acu,live_minute_cnt_1d,game_live_show_cnt_1d,game_live_show_ucnt_1d,game_watch_cnt_1d,game_watch_ucnt_1d,game_live_comment_cnt_1d,game_live_comment_ucnt_1d,game_live_share_cnt_1d,game_live_share_ucnt_1d,game_live_send_barrage_cnt_1d,game_live_send_barrage_ucnt_1d,game_live_dislike_cnt_1d,game_live_dislike_ucnt_1d,game_live_report_cnt_1d,game_live_report_ucnt_1d,game_new_follow_fans_ucnt_1d,game_unfollow_anchor_ucnt_1d,live_real_online_watch_ucnt_1mi,live_fake_online_watch_ucnt_1mi,live_popular_online_watch_ucnt_1mi,live_total_online_watch_ucnt_1mi
76057886295,新主播,0,0.0,0.0,0.0,female,31-40,243.0,0.0,12.0,0.0,239.0,704.0,580.0,292.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76061773,0.0,0.0,0.76061773
81572915091,新主播,0,1.0,1.0,1.0,male,31-40,801.0,0.0,7.0,0.0,17.0,439.0,398.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9411764,0.0,0.0,4.9411764
87240884530,新主播,0,0.0,0.0,0.0,female,18-23,73.0,0.0,3.0,0.41025642,63.0,141.0,94.0,49.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015873,0.0,0.0,2.015873
93022304980,新主播,0,0.0,0.0,0.0,female,-18,53.0,0.0,6.0,3.125,111.0,545.0,372.0,198.0,169.0,159.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.594595,0.0,0.0,10.594595
93424897981,新主播,0,1.0,0.0,0.0,female,24-30,48.0,1.0,10.0,6.7555103,240.0,11750.5,9337.0,524.5,415.75,969.5,50.0,0.75,0.75,0.0,0.0,3.5,3.5,0.0,0.0,19.0,1.0,10.794791,0.0,0.0,10.794791
94196822970,新主播,0,0.0,1.0,1.0,male,18-23,1270.0,0.0,14.0,0.0,38.0,200.0,123.0,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92105263,0.0,0.0,0.92105263
96797325738,新主播,0,0.0,0.0,0.0,male,24-30,816.0,0.0,10.0,0.0,11.0,76.0,48.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90909094,0.0,0.0,0.90909094
96862302246,新主播,0,0.0,0.0,0.0,male,24-30,70.0,0.0,7.0,0.0,14.0,44.0,34.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714287,0.0,0.0,0.35714287
98451446246,新主播,0,0.0,1.0,0.0,male,24-30,130.0,0.0,2.0,0.0,28.0,169.0,143.0,106.0,101.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2857144,0.0,0.0,2.2857144
99079228926,新主播,0,0.0,0.0,0.0,male,24-30,88.0,0.0,9.0,0.0,7.0,66.0,56.0,48.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1428572,0.0,0.0,1.1428572
101535679573,新主播,0,0.0,0.0,0.0,female,31-40,13247.0,1.0,7.0,150.44444,102.0,5571.0,4592.0,503.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,90.411766,0.0,0.0,90.411766
102211378067,新主播,0,0.0,0.0,0.0,female,31-40,52.0,0.0,5.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102842951574,新主播,0,0.0,0.0,0.0,male,24-30,172.0,0.0,12.0,0.5243902,299.0,427.0,315.0,187.5,174.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.5,1.1755853,0.0,0.0,1.1755853
103515146707,新主播,0,0.0,0.0,0.0,male,24-30,28.0,0.0,6.0,0.32786885,77.0,295.0,134.0,99.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.5584416,0.0,0.0,0.5584416
106680805372,新主播,0,0.0,1.0,0.0,male,31-40,206.0,0.0,4.0,0.0,12.0,19.0,16.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333336,0.0,0.0,0.083333336
109467337487,新主播,0,0.0,0.0,0.0,male,24-30,159.0,0.0,7.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105191933748477,新主播,0,1.0,0.0,0.0,female,18-23,88.0,0.0,10.0,1.1279069,86.0,903.0,786.0,201.0,192.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.3953488,0.0,0.0,2.3953488
1143972112373484,新主播,0,1.0,0.0,0.0,female,-18,508.0,0.0,14.0,1.386402,78.0,322.0,245.5,171.5,148.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.7435896,0.0,0.0,2.7435896
1990571291313437,新主播,0,0.0,0.0,0.0,unknown,unknown,0.0,0.0,13.0,14.756435,470.5,2697.5,2210.0,582.5,510.0,135.0,35.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,4.5,13.0,1.5,24.595112,0.0,0.0,24.595112
2000718193756987,新主播,0,1.0,0.0,0.0,male,-18,205.0,1.0,5.0,3.9666882,88.0,1045.6,463.4,111.2,69.6,135.6,12.6,9.4,1.6,0.0,0.0,0.2,0.2,0.0,0.0,0.8,0.4,5.7,0.0,0.0,5.7
