"anchor_id","stable_status","is_sab_stable_valid","retention_status","if_gamepromote_room","is_aa_promote","anchor_features"
"59338508846","新主播","0","0","0","0","female,41-50,1177,0,11,0.0,6.0,43.0,30.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333"
"59760735828","新主播","0","0","0","0","male,18-23,350,1,4,1.6756756756756757,24.5,186.5,166.5,129.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.204081632653061,0.0,0.0,3.204081632653061"
"63540966140","新主播","0","1","0","0","female,24-30,85,0,3,2.1,44.333333333333336,186.66666666666666,96.33333333333333,49.666666666666664,38.333333333333336,22.666666666666668,2.3333333333333335,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,3.6842105263157894,0.0,0.0,3.6842105263157894"
"65905590281","新主播","0","0","0","0","male,31-40,181,0,10,0.0,10.0,10.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2"
"66302521265","新主播","0","0","0","0","male,24-30,81,0,2,0.0,21.0,31.0,23.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.23809523809523808"
"69086435555","新主播","0","0","0","0","female,24-30,83,0,4,0.0,9.0,13.0,7.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.4444444444444444"
"69837696090","新主播","0","0","0","0","male,18-23,54,0,13,0.07142857142857141,28.0,31.0,13.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4642857142857143,0.0,0.0,0.4642857142857143"
"70647285056","新主播","0","0","1","0","male,-18,88,0,3,3.347560975609756,189.0,2991.0,2489.0,1976.0,1863.0,12.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,3.984126984126984,0.0,0.0,3.984126984126984"
"85695998595","新主播","0","0","0","1","male,18-23,1263,0,8,0.0,6.0,45.0,33.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,1.1666666666666667"
"86649920277","新主播","0","0","0","0","female,18-23,20,0,10,36.42307692307692,99.0,10926.0,6923.0,1521.0,1167.0,246.0,64.0,2.0,2.0,0.0,0.0,5.0,5.0,6.0,2.0,40.0,3.0,33.2020202020202,0.0,0.0,33.2020202020202"
"88631942423","新主播","0","0","1","0","male,31-40,137,0,11,0.0,9.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222"
"95622081837","新主播","0","0","0","0","male,31-40,71,0,9,0.0,29.0,124.0,113.0,103.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8275862068965518,0.0,0.0,1.8275862068965518"
"95864882871","新主播","0","0","0","0","male,41-50,1079,0,8,0.0,15.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667"
"98277495978","新主播","0","1","1","0","male,24-30,1274,0,14,0.04878048780487806,23.0,49.5,37.5,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.08695652173913043,0.0,0.0,0.08695652173913043"
